GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC04_EST_VC12,HC04_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC04_EST_VC16,HC04_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC04_EST_VC17,HC04_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC04_EST_VC22,HC04_MOE_VC22,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC04_EST_VC24,HC04_MOE_VC24,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27,HC04_EST_VC27,HC04_MOE_VC27
Id,Id2,Geography,Total; Estimate; Population 15 to 19 years,Total; Margin of Error; Population 15 to 19 years,"White alone, not Hispanic or Latino; Estimate; Population 15 to 19 years","White alone, not Hispanic or Latino; Margin of Error; Population 15 to 19 years",Black or African American; Estimate; Population 15 to 19 years,Black or African American; Margin of Error; Population 15 to 19 years,Hispanic or Latino origin (of any race); Estimate; Population 15 to 19 years,Hispanic or Latino origin (of any race); Margin of Error; Population 15 to 19 years,Total; Estimate; SCHOOL ENROLLMENT - Enrolled in school,Total; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school,"White alone, not Hispanic or Latino; Estimate; SCHOOL ENROLLMENT - Enrolled in school","White alone, not Hispanic or Latino; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school",Black or African American; Estimate; SCHOOL ENROLLMENT - Enrolled in school,Black or African American; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school,Hispanic or Latino origin (of any race); Estimate; SCHOOL ENROLLMENT - Enrolled in school,Hispanic or Latino origin (of any race); Margin of Error; SCHOOL ENROLLMENT - Enrolled in school,Total; Estimate; SCHOOL ENROLLMENT - Enrolled in school - Public,Total; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Public,"White alone, not Hispanic or Latino; Estimate; SCHOOL ENROLLMENT - Enrolled in school - Public","White alone, not Hispanic or Latino; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Public",Black or African American; Estimate; SCHOOL ENROLLMENT - Enrolled in school - Public,Black or African American; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Public,Hispanic or Latino origin (of any race); Estimate; SCHOOL ENROLLMENT - Enrolled in school - Public,Hispanic or Latino origin (of any race); Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Public,Total; Estimate; SCHOOL ENROLLMENT - Enrolled in school - Private,Total; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Private,"White alone, not Hispanic or Latino; Estimate; SCHOOL ENROLLMENT - Enrolled in school - Private","White alone, not Hispanic or Latino; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Private",Black or African American; Estimate; SCHOOL ENROLLMENT - Enrolled in school - Private,Black or African American; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Private,Hispanic or Latino origin (of any race); Estimate; SCHOOL ENROLLMENT - Enrolled in school - Private,Hispanic or Latino origin (of any race); Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Private,Total; Estimate; SCHOOL ENROLLMENT - Not enrolled in school,Total; Margin of Error; SCHOOL ENROLLMENT - Not enrolled in school,"White alone, not Hispanic or Latino; Estimate; SCHOOL ENROLLMENT - Not enrolled in school","White alone, not Hispanic or Latino; Margin of Error; SCHOOL ENROLLMENT - Not enrolled in school",Black or African American; Estimate; SCHOOL ENROLLMENT - Not enrolled in school,Black or African American; Margin of Error; SCHOOL ENROLLMENT - Not enrolled in school,Hispanic or Latino origin (of any race); Estimate; SCHOOL ENROLLMENT - Not enrolled in school,Hispanic or Latino origin (of any race); Margin of Error; SCHOOL ENROLLMENT - Not enrolled in school,Total; Estimate; MARITAL STATUS AND FERTILITY - Male,Total; Margin of Error; MARITAL STATUS AND FERTILITY - Male,"White alone, not Hispanic or Latino; Estimate; MARITAL STATUS AND FERTILITY - Male","White alone, not Hispanic or Latino; Margin of Error; MARITAL STATUS AND FERTILITY - Male",Black or African American; Estimate; MARITAL STATUS AND FERTILITY - Male,Black or African American; Margin of Error; MARITAL STATUS AND FERTILITY - Male,Hispanic or Latino origin (of any race); Estimate; MARITAL STATUS AND FERTILITY - Male,Hispanic or Latino origin (of any race); Margin of Error; MARITAL STATUS AND FERTILITY - Male,Total; Estimate; MARITAL STATUS AND FERTILITY - Male - Ever married,Total; Margin of Error; MARITAL STATUS AND FERTILITY - Male - Ever married,"White alone, not Hispanic or Latino; Estimate; MARITAL STATUS AND FERTILITY - Male - Ever married","White alone, not Hispanic or Latino; Margin of Error; MARITAL STATUS AND FERTILITY - Male - Ever married",Black or African American; Estimate; MARITAL STATUS AND FERTILITY - Male - Ever married,Black or African American; Margin of Error; MARITAL STATUS AND FERTILITY - Male - Ever married,Hispanic or Latino origin (of any race); Estimate; MARITAL STATUS AND FERTILITY - Male - Ever married,Hispanic or Latino origin (of any race); Margin of Error; MARITAL STATUS AND FERTILITY - Male - Ever married,Total; Estimate; MARITAL STATUS AND FERTILITY - Female,Total; Margin of Error; MARITAL STATUS AND FERTILITY - Female,"White alone, not Hispanic or Latino; Estimate; MARITAL STATUS AND FERTILITY - Female","White alone, not Hispanic or Latino; Margin of Error; MARITAL STATUS AND FERTILITY - Female",Black or African American; Estimate; MARITAL STATUS AND FERTILITY - Female,Black or African American; Margin of Error; MARITAL STATUS AND FERTILITY - Female,Hispanic or Latino origin (of any race); Estimate; MARITAL STATUS AND FERTILITY - Female,Hispanic or Latino origin (of any race); Margin of Error; MARITAL STATUS AND FERTILITY - Female,Total; Estimate; MARITAL STATUS AND FERTILITY - Female - Ever married,Total; Margin of Error; MARITAL STATUS AND FERTILITY - Female - Ever married,"White alone, not Hispanic or Latino; Estimate; MARITAL STATUS AND FERTILITY - Female - Ever married","White alone, not Hispanic or Latino; Margin of Error; MARITAL STATUS AND FERTILITY - Female - Ever married",Black or African American; Estimate; MARITAL STATUS AND FERTILITY - Female - Ever married,Black or African American; Margin of Error; MARITAL STATUS AND FERTILITY - Female - Ever married,Hispanic or Latino origin (of any race); Estimate; MARITAL STATUS AND FERTILITY - Female - Ever married,Hispanic or Latino origin (of any race); Margin of Error; MARITAL STATUS AND FERTILITY - Female - Ever married,Total; Estimate; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months,Total; Margin of Error; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months,"White alone, not Hispanic or Latino; Estimate; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months","White alone, not Hispanic or Latino; Margin of Error; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months",Black or African American; Estimate; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months,Black or African American; Margin of Error; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months,Hispanic or Latino origin (of any race); Estimate; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months,Hispanic or Latino origin (of any race); Margin of Error; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months,Total; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households,Total; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households,"White alone, not Hispanic or Latino; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households","White alone, not Hispanic or Latino; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households",Black or African American; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households,Black or African American; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households,Hispanic or Latino origin (of any race); Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households,Hispanic or Latino origin (of any race); Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households,Total; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In married-couple family households,Total; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In married-couple family households,"White alone, not Hispanic or Latino; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In married-couple family households","White alone, not Hispanic or Latino; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In married-couple family households",Black or African American; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In married-couple family households,Black or African American; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In married-couple family households,Hispanic or Latino origin (of any race); Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In married-couple family households,Hispanic or Latino origin (of any race); Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In married-couple family households,"Total; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In male householder, no wife present, family households","Total; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In male householder, no wife present, family households","White alone, not Hispanic or Latino; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In male householder, no wife present, family households","White alone, not Hispanic or Latino; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In male householder, no wife present, family households","Black or African American; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In male householder, no wife present, family households","Black or African American; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In male householder, no wife present, family households","Hispanic or Latino origin (of any race); Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In male householder, no wife present, family households","Hispanic or Latino origin (of any race); Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In male householder, no wife present, family households","Total; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In female householder, no husband present, family households","Total; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In female householder, no husband present, family households","White alone, not Hispanic or Latino; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In female householder, no husband present, family households","White alone, not Hispanic or Latino; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In female householder, no husband present, family households","Black or African American; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In female householder, no husband present, family households","Black or African American; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In female householder, no husband present, family households","Hispanic or Latino origin (of any race); Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In female householder, no husband present, family households","Hispanic or Latino origin (of any race); Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In female householder, no husband present, family households",Total; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In nonfamily households,Total; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In nonfamily households,"White alone, not Hispanic or Latino; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In nonfamily households","White alone, not Hispanic or Latino; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In nonfamily households",Black or African American; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In nonfamily households,Black or African American; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In nonfamily households,Hispanic or Latino origin (of any race); Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In nonfamily households,Hispanic or Latino origin (of any race); Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In nonfamily households,Total; Estimate; Population 16 to 19 years,Total; Margin of Error; Population 16 to 19 years,"White alone, not Hispanic or Latino; Estimate; Population 16 to 19 years","White alone, not Hispanic or Latino; Margin of Error; Population 16 to 19 years",Black or African American; Estimate; Population 16 to 19 years,Black or African American; Margin of Error; Population 16 to 19 years,Hispanic or Latino origin (of any race); Estimate; Population 16 to 19 years,Hispanic or Latino origin (of any race); Margin of Error; Population 16 to 19 years,Total; Estimate; Population 16 to 19 years - IDLENESS - Not enrolled in school and not in the labor force,Total; Margin of Error; Population 16 to 19 years - IDLENESS - Not enrolled in school and not in the labor force,"White alone, not Hispanic or Latino; Estimate; Population 16 to 19 years - IDLENESS - Not enrolled in school and not in the labor force","White alone, not Hispanic or Latino; Margin of Error; Population 16 to 19 years - IDLENESS - Not enrolled in school and not in the labor force",Black or African American; Estimate; Population 16 to 19 years - IDLENESS - Not enrolled in school and not in the labor force,Black or African American; Margin of Error; Population 16 to 19 years - IDLENESS - Not enrolled in school and not in the labor force,Hispanic or Latino origin (of any race); Estimate; Population 16 to 19 years - IDLENESS - Not enrolled in school and not in the labor force,Hispanic or Latino origin (of any race); Margin of Error; Population 16 to 19 years - IDLENESS - Not enrolled in school and not in the labor force,Total; Estimate; LABOR FORCE STATUS - In the labor force,Total; Margin of Error; LABOR FORCE STATUS - In the labor force,"White alone, not Hispanic or Latino; Estimate; LABOR FORCE STATUS - In the labor force","White alone, not Hispanic or Latino; Margin of Error; LABOR FORCE STATUS - In the labor force",Black or African American; Estimate; LABOR FORCE STATUS - In the labor force,Black or African American; Margin of Error; LABOR FORCE STATUS - In the labor force,Hispanic or Latino origin (of any race); Estimate; LABOR FORCE STATUS - In the labor force,Hispanic or Latino origin (of any race); Margin of Error; LABOR FORCE STATUS - In the labor force
0400000US01,01,Alabama,329625,5124,196572,2768,103251,3820,15219,2136,286446,5532,172694,3005,87266,3422,13243,2068,88.4,1.0,86.3,1.4,92.2,1.5,92.0,3.1,11.6,1.0,13.7,1.4,7.8,1.5,8.0,3.1,43179,3594,23878,2378,15985,2023,1976,837,166177,5012,98945,2213,50429,3236,8805,2093,1.1,0.4,0.9,0.5,0.5,0.4,N,N,163448,3606,97627,2302,52822,2671,6414,1229,1.3,0.5,1.7,0.7,0.8,0.6,N,N,2.0,0.7,1.6,0.7,2.4,1.2,N,N,299724,5204,179247,3003,93106,3783,14074,2235,56.7,1.5,70.2,2.2,30.0,2.6,64.7,8.8,6.7,0.8,6.8,1.1,6.9,1.4,7.1,4.2,34.3,1.4,20.3,1.7,61.8,2.7,26.7,8.8,2.2,0.5,2.7,0.6,1.2,0.7,1.6,2.2,266406,5349,158296,3304,84982,4000,12593,1843,6.4,0.9,5.3,1.1,9.0,1.9,7.0,5.1,32.6,1.7,34.4,2.3,29.3,2.7,30.9,9.2
0400000US04,04,Arizona,457577,3564,194960,1651,20762,1737,191099,1855,395726,4941,171016,3085,18490,1621,161351,2745,93.1,0.5,91.7,1.0,93.8,3.0,94.9,0.9,6.9,0.5,8.3,1.0,6.2,3.0,5.1,0.9,61851,3910,23944,2549,2272,644,29748,2535,236079,2853,100859,1303,11288,1679,97276,1179,1.0,0.3,0.8,0.4,N,N,1.4,0.6,221498,2433,94101,1612,9474,1258,93823,1327,1.6,0.4,1.4,0.5,N,N,1.8,0.6,1.2,0.4,0.3,0.3,N,N,1.9,0.7,431346,4362,179710,1999,18723,1874,185596,2168,57.2,1.5,63.1,2.3,39.1,6.6,56.5,2.2,10.4,1.0,9.0,1.3,13.7,5.7,11.3,1.5,27.4,1.4,22.8,1.8,43.4,7.8,28.9,2.4,4.9,0.9,5.2,1.1,3.7,2.2,3.3,1.0,366121,4870,157807,2815,16654,1623,150456,3092,5.9,0.7,4.2,0.8,4.5,2.2,7.8,1.3,37.1,1.4,42.6,1.9,35.8,7.1,34.0,2.3
0400000US05,05,Arkansas,204455,3632,133261,2246,40387,2271,17442,1685,177136,3883,116896,2714,34780,2264,14399,1373,91.0,1.1,89.7,1.2,95.0,2.2,93.0,3.1,9.0,1.1,10.3,1.2,5.0,2.2,7.0,3.1,27319,2844,16365,1904,5607,1311,3043,1110,105205,3342,69734,2024,20880,1565,7978,1374,0.8,0.4,0.7,0.4,N,N,N,N,99250,3680,63527,1878,19507,2065,9464,1431,2.5,1.0,2.5,0.9,N,N,N,N,3.6,1.0,2.0,0.7,8.6,3.7,3.8,2.7,183324,3682,119939,2376,34613,2308,16345,1655,58.1,2.2,64.6,2.7,36.7,6.1,57.3,8.9,8.2,1.3,8.1,1.5,6.0,2.0,13.3,7.7,29.6,1.9,22.5,2.1,55.6,6.1,24.4,7.2,4.1,1.0,4.9,1.1,1.7,1.2,5.0,4.1,166422,3740,108503,2663,32795,2308,13522,1652,5.5,1.1,4.4,1.0,7.0,2.7,10.7,6.7,34.2,2.0,36.3,2.3,28.0,4.3,24.6,6.9
0400000US06,06,California,2636011,4622,739508,2231,162548,3361,1307115,2084,2350793,9620,665119,3842,141071,3509,1144601,7093,90.6,0.4,84.4,0.8,92.0,1.3,94.7,0.4,9.4,0.4,15.6,0.8,8.0,1.3,5.3,0.4,285218,8125,74389,3710,21477,2443,162514,6612,1349901,4038,382466,1841,82158,2618,665332,1817,1.0,0.1,1.0,0.2,0.6,0.3,1.0,0.2,1286110,4023,357042,1810,80390,2743,641783,1513,1.4,0.2,1.3,0.2,0.9,0.5,1.4,0.2,1.4,0.2,0.7,0.2,1.9,0.8,2.2,0.3,2468396,5621,677466,3838,149758,3577,1259316,3238,61.9,0.6,66.7,0.9,35.6,2.5,60.4,1.0,9.1,0.4,8.7,0.6,9.0,1.6,10.0,0.6,26.2,0.6,20.4,0.9,53.5,2.8,27.9,0.9,2.8,0.2,4.2,0.5,1.9,0.7,1.8,0.2,2134326,10534,601162,5536,133816,3880,1050372,6673,4.9,0.2,4.4,0.5,6.1,1.1,5.5,0.4,28.9,0.5,31.6,1.0,24.9,2.0,30.2,0.8
0400000US08,08,Colorado,340006,3283,204975,1857,15414,1726,94954,1765,295591,3809,182943,2208,11904,1553,79090,2536,91.9,0.9,89.9,1.3,95.0,3.7,96.3,1.0,8.1,0.9,10.1,1.3,5.0,3.7,3.7,1.0,44415,2952,22032,2100,3510,914,15864,1774,175660,3356,107553,1924,8636,1058,47913,1739,1.2,0.4,0.7,0.3,N,N,2.8,1.4,164346,2255,97422,1413,6778,1229,47041,1229,1.2,0.4,0.7,0.4,N,N,2.5,1.2,1.8,0.5,0.9,0.6,N,N,4.2,1.6,306882,3458,181696,2118,13714,1717,89777,1875,62.9,1.5,67.3,2.0,44.0,8.2,56.6,3.5,9.9,1.4,8.9,1.5,6.0,3.5,13.0,2.7,22.7,1.5,18.2,1.9,45.9,7.9,28.2,3.0,4.5,0.8,5.6,1.2,4.1,3.1,2.2,0.8,269002,4393,164094,2939,12036,1619,73893,2507,4.2,0.6,3.0,0.7,9.6,5.1,6.3,1.5,44.1,1.6,44.7,1.9,41.1,6.7,44.3,3.0
0400000US09,09,Connecticut,251879,1667,158119,316,30593,1608,46679,1138,228885,2777,145458,1906,26981,1645,40233,1734,81.2,1.5,78.0,2.1,89.4,3.5,88.2,2.6,18.8,1.5,22.0,2.1,10.6,3.5,11.8,2.6,22994,2317,12661,1899,3612,985,6446,1159,127783,1433,80794,247,15269,1259,23774,1159,0.6,0.4,0.3,0.3,N,N,1.1,1.0,124096,1367,77325,238,15324,1267,22905,661,0.9,0.4,0.8,0.3,N,N,1.5,1.4,1.1,0.5,0.6,0.5,N,N,2.3,1.3,222041,3097,137695,1870,27585,1716,43433,1260,61.8,1.8,71.6,2.3,36.1,5.5,42.9,5.4,9.1,1.4,8.4,1.5,10.1,4.2,11.4,2.9,27.6,1.8,18.3,2.1,53.4,6.3,44.4,5.6,1.5,0.5,1.7,0.7,0.4,0.5,1.3,0.9,203228,3124,128449,2191,23452,1691,38145,1585,3.1,0.6,2.5,0.8,4.7,2.5,5.3,1.3,41.9,1.8,42.4,2.2,41.2,5.5,39.8,3.8
0400000US12,12,Florida,1196039,7575,543538,2499,254035,5217,334381,3820,1051033,8906,483179,4345,223156,5995,287261,4814,88.4,0.6,86.3,0.9,92.2,1.1,89.8,1.2,11.6,0.6,13.7,0.9,7.8,1.1,10.2,1.2,145006,6054,60359,4174,30879,2919,47120,4283,615651,6193,280050,2394,132676,4196,173703,3214,1.0,0.2,0.9,0.3,0.7,0.3,1.1,0.5,580388,5737,263488,2585,121359,3704,160678,2915,1.1,0.2,1.0,0.4,0.8,0.4,1.3,0.5,1.3,0.3,0.7,0.3,1.6,0.8,2.2,0.7,1121867,8338,500412,3240,238331,5562,323938,3824,57.2,0.9,64.1,1.2,39.8,2.4,57.7,1.6,8.7,0.5,9.0,0.7,7.7,1.1,9.5,1.1,31.0,0.9,23.2,1.0,49.4,2.7,31.0,1.7,3.1,0.3,3.7,0.5,3.1,0.9,1.8,0.4,959995,9588,436038,5144,207703,5465,265059,4895,5.8,0.4,5.0,0.7,7.0,1.0,6.7,0.9,31.3,0.7,34.6,0.9,27.1,1.8,29.7,1.6
0400000US13,13,Georgia,717170,8832,344147,4748,254414,4985,76914,3500,616103,8827,300795,5028,213690,4942,62966,3169,88.7,0.8,84.9,1.2,93.2,1.0,93.9,1.6,11.3,0.8,15.1,1.2,6.8,1.0,6.1,1.6,101067,4934,43352,3641,40724,4040,13948,1887,372178,7247,180111,3991,131316,4157,40407,2889,1.1,0.3,1.1,0.4,0.7,0.3,2.3,1.5,344992,6718,164036,3676,123098,4040,36507,2408,2.2,0.5,2.9,0.8,1.2,0.6,3.5,1.7,2.6,0.6,2.4,0.7,3.0,1.1,3.5,1.7,657939,8295,313149,4528,234962,5026,73472,3475,57.8,1.4,70.4,1.7,37.4,2.3,62.8,4.1,7.3,0.7,7.1,1.0,6.9,1.0,11.3,2.4,32.1,1.0,18.7,1.3,54.0,2.2,23.7,3.2,2.7,0.5,3.8,0.9,1.6,0.5,2.2,1.3,578399,9600,278505,5174,205407,5838,62182,3331,6.9,0.6,5.5,0.7,9.5,1.3,6.2,1.8,33.0,1.1,34.7,1.5,30.2,2.0,38.2,3.8
0400000US15,15,Hawaii,79978,1420,11722,889,2209,922,11467,560,65887,2068,8761,804,1514,1013,8627,811,78.5,2.5,70.6,7.7,N,N,81.8,7.3,21.5,2.5,29.4,7.7,N,N,18.2,7.3,14091,1737,2961,794,695,606,2840,700,41469,1150,6025,764,1560,790,5855,542,0.5,0.3,N,N,N,N,N,N,38509,1313,5697,625,649,336,5612,700,3.5,1.6,N,N,N,N,N,N,1.0,0.8,N,N,N,N,N,N,75021,1569,9964,1003,1540,869,10394,722,66.9,2.8,67.3,9.1,N,N,59.2,7.7,8.6,1.8,11.0,6.0,N,N,11.5,5.7,22.9,2.3,20.5,8.4,N,N,27.6,6.9,1.5,0.7,1.2,1.8,N,N,1.6,2.2,65157,2002,10350,915,2094,970,9193,872,6.3,1.5,8.0,4.9,N,N,14.7,7.2,36.0,2.8,42.7,7.5,62.9,15.0,39.0,7.9
