GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC04_EST_VC12,HC04_MOE_VC12,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC04_EST_VC14,HC04_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC04_EST_VC16,HC04_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC04_EST_VC17,HC04_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC04_EST_VC21,HC04_MOE_VC21,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC04_EST_VC23,HC04_MOE_VC23
Id,Id2,Geography,Total; Estimate; Population 15 to 19 years,Total; Margin of Error; Population 15 to 19 years,"White alone, not Hispanic or Latino; Estimate; Population 15 to 19 years","White alone, not Hispanic or Latino; Margin of Error; Population 15 to 19 years",Black or African American; Estimate; Population 15 to 19 years,Black or African American; Margin of Error; Population 15 to 19 years,Hispanic or Latino origin (of any race); Estimate; Population 15 to 19 years,Hispanic or Latino origin (of any race); Margin of Error; Population 15 to 19 years,Total; Estimate; Population 15 to 19 years - SCHOOL ENROLLMENT - Enrolled in school,Total; Margin of Error; Population 15 to 19 years - SCHOOL ENROLLMENT - Enrolled in school,"White alone, not Hispanic or Latino; Estimate; Population 15 to 19 years - SCHOOL ENROLLMENT - Enrolled in school","White alone, not Hispanic or Latino; Margin of Error; Population 15 to 19 years - SCHOOL ENROLLMENT - Enrolled in school",Black or African American; Estimate; Population 15 to 19 years - SCHOOL ENROLLMENT - Enrolled in school,Black or African American; Margin of Error; Population 15 to 19 years - SCHOOL ENROLLMENT - Enrolled in school,Hispanic or Latino origin (of any race); Estimate; Population 15 to 19 years - SCHOOL ENROLLMENT - Enrolled in school,Hispanic or Latino origin (of any race); Margin of Error; Population 15 to 19 years - SCHOOL ENROLLMENT - Enrolled in school,Total; Estimate; Population 15 to 19 years - SCHOOL ENROLLMENT - Enrolled in school - Public,Total; Margin of Error; Population 15 to 19 years - SCHOOL ENROLLMENT - Enrolled in school - Public,"White alone, not Hispanic or Latino; Estimate; Population 15 to 19 years - SCHOOL ENROLLMENT - Enrolled in school - Public","White alone, not Hispanic or Latino; Margin of Error; Population 15 to 19 years - SCHOOL ENROLLMENT - Enrolled in school - Public",Black or African American; Estimate; Population 15 to 19 years - SCHOOL ENROLLMENT - Enrolled in school - Public,Black or African American; Margin of Error; Population 15 to 19 years - SCHOOL ENROLLMENT - Enrolled in school - Public,Hispanic or Latino origin (of any race); Estimate; Population 15 to 19 years - SCHOOL ENROLLMENT - Enrolled in school - Public,Hispanic or Latino origin (of any race); Margin of Error; Population 15 to 19 years - SCHOOL ENROLLMENT - Enrolled in school - Public,Total; Estimate; Population 15 to 19 years - SCHOOL ENROLLMENT - Enrolled in school - Private,Total; Margin of Error; Population 15 to 19 years - SCHOOL ENROLLMENT - Enrolled in school - Private,"White alone, not Hispanic or Latino; Estimate; Population 15 to 19 years - SCHOOL ENROLLMENT - Enrolled in school - Private","White alone, not Hispanic or Latino; Margin of Error; Population 15 to 19 years - SCHOOL ENROLLMENT - Enrolled in school - Private",Black or African American; Estimate; Population 15 to 19 years - SCHOOL ENROLLMENT - Enrolled in school - Private,Black or African American; Margin of Error; Population 15 to 19 years - SCHOOL ENROLLMENT - Enrolled in school - Private,Hispanic or Latino origin (of any race); Estimate; Population 15 to 19 years - SCHOOL ENROLLMENT - Enrolled in school - Private,Hispanic or Latino origin (of any race); Margin of Error; Population 15 to 19 years - SCHOOL ENROLLMENT - Enrolled in school - Private,Total; Estimate; Population 15 to 19 years - SCHOOL ENROLLMENT - Not enrolled in school,Total; Margin of Error; Population 15 to 19 years - SCHOOL ENROLLMENT - Not enrolled in school,"White alone, not Hispanic or Latino; Estimate; Population 15 to 19 years - SCHOOL ENROLLMENT - Not enrolled in school","White alone, not Hispanic or Latino; Margin of Error; Population 15 to 19 years - SCHOOL ENROLLMENT - Not enrolled in school",Black or African American; Estimate; Population 15 to 19 years - SCHOOL ENROLLMENT - Not enrolled in school,Black or African American; Margin of Error; Population 15 to 19 years - SCHOOL ENROLLMENT - Not enrolled in school,Hispanic or Latino origin (of any race); Estimate; Population 15 to 19 years - SCHOOL ENROLLMENT - Not enrolled in school,Hispanic or Latino origin (of any race); Margin of Error; Population 15 to 19 years - SCHOOL ENROLLMENT - Not enrolled in school,Total; Estimate; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Male,Total; Margin of Error; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Male,"White alone, not Hispanic or Latino; Estimate; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Male","White alone, not Hispanic or Latino; Margin of Error; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Male",Black or African American; Estimate; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Male,Black or African American; Margin of Error; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Male,Hispanic or Latino origin (of any race); Estimate; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Male,Hispanic or Latino origin (of any race); Margin of Error; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Male,Total; Estimate; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Male - Ever married,Total; Margin of Error; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Male - Ever married,"White alone, not Hispanic or Latino; Estimate; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Male - Ever married","White alone, not Hispanic or Latino; Margin of Error; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Male - Ever married",Black or African American; Estimate; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Male - Ever married,Black or African American; Margin of Error; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Male - Ever married,Hispanic or Latino origin (of any race); Estimate; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Male - Ever married,Hispanic or Latino origin (of any race); Margin of Error; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Male - Ever married,Total; Estimate; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Female,Total; Margin of Error; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Female,"White alone, not Hispanic or Latino; Estimate; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Female","White alone, not Hispanic or Latino; Margin of Error; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Female",Black or African American; Estimate; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Female,Black or African American; Margin of Error; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Female,Hispanic or Latino origin (of any race); Estimate; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Female,Hispanic or Latino origin (of any race); Margin of Error; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Female,Total; Estimate; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Female - Ever married,Total; Margin of Error; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Female - Ever married,"White alone, not Hispanic or Latino; Estimate; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Female - Ever married","White alone, not Hispanic or Latino; Margin of Error; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Female - Ever married",Black or African American; Estimate; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Female - Ever married,Black or African American; Margin of Error; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Female - Ever married,Hispanic or Latino origin (of any race); Estimate; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Female - Ever married,Hispanic or Latino origin (of any race); Margin of Error; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Female - Ever married,Total; Estimate; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months,Total; Margin of Error; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months,"White alone, not Hispanic or Latino; Estimate; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months","White alone, not Hispanic or Latino; Margin of Error; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months",Black or African American; Estimate; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months,Black or African American; Margin of Error; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months,Hispanic or Latino origin (of any race); Estimate; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months,Hispanic or Latino origin (of any race); Margin of Error; Population 15 to 19 years - MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months,Total; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households,Total; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households,"White alone, not Hispanic or Latino; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households","White alone, not Hispanic or Latino; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households",Black or African American; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households,Black or African American; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households,Hispanic or Latino origin (of any race); Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households,Hispanic or Latino origin (of any race); Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households,Total; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In married-couple family households,Total; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In married-couple family households,"White alone, not Hispanic or Latino; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In married-couple family households","White alone, not Hispanic or Latino; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In married-couple family households",Black or African American; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In married-couple family households,Black or African American; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In married-couple family households,Hispanic or Latino origin (of any race); Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In married-couple family households,Hispanic or Latino origin (of any race); Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In married-couple family households,"Total; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In male householder, no wife present, family households","Total; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In male householder, no wife present, family households","White alone, not Hispanic or Latino; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In male householder, no wife present, family households","White alone, not Hispanic or Latino; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In male householder, no wife present, family households","Black or African American; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In male householder, no wife present, family households","Black or African American; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In male householder, no wife present, family households","Hispanic or Latino origin (of any race); Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In male householder, no wife present, family households","Hispanic or Latino origin (of any race); Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In male householder, no wife present, family households","Total; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In female householder, no husband present, family households","Total; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In female householder, no husband present, family households","White alone, not Hispanic or Latino; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In female householder, no husband present, family households","White alone, not Hispanic or Latino; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In female householder, no husband present, family households","Black or African American; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In female householder, no husband present, family households","Black or African American; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In female householder, no husband present, family households","Hispanic or Latino origin (of any race); Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In female householder, no husband present, family households","Hispanic or Latino origin (of any race); Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In female householder, no husband present, family households",Total; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In nonfamily households,Total; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In nonfamily households,"White alone, not Hispanic or Latino; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In nonfamily households","White alone, not Hispanic or Latino; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In nonfamily households",Black or African American; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In nonfamily households,Black or African American; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In nonfamily households,Hispanic or Latino origin (of any race); Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In nonfamily households,Hispanic or Latino origin (of any race); Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In nonfamily households,Total; Estimate; Population 16 to 19 years,Total; Margin of Error; Population 16 to 19 years,"White alone, not Hispanic or Latino; Estimate; Population 16 to 19 years","White alone, not Hispanic or Latino; Margin of Error; Population 16 to 19 years",Black or African American; Estimate; Population 16 to 19 years,Black or African American; Margin of Error; Population 16 to 19 years,Hispanic or Latino origin (of any race); Estimate; Population 16 to 19 years,Hispanic or Latino origin (of any race); Margin of Error; Population 16 to 19 years,Total; Estimate; Population 16 to 19 years - IDLENESS - Not enrolled in school and not in the labor force,Total; Margin of Error; Population 16 to 19 years - IDLENESS - Not enrolled in school and not in the labor force,"White alone, not Hispanic or Latino; Estimate; Population 16 to 19 years - IDLENESS - Not enrolled in school and not in the labor force","White alone, not Hispanic or Latino; Margin of Error; Population 16 to 19 years - IDLENESS - Not enrolled in school and not in the labor force",Black or African American; Estimate; Population 16 to 19 years - IDLENESS - Not enrolled in school and not in the labor force,Black or African American; Margin of Error; Population 16 to 19 years - IDLENESS - Not enrolled in school and not in the labor force,Hispanic or Latino origin (of any race); Estimate; Population 16 to 19 years - IDLENESS - Not enrolled in school and not in the labor force,Hispanic or Latino origin (of any race); Margin of Error; Population 16 to 19 years - IDLENESS - Not enrolled in school and not in the labor force,Total; Estimate; Population 16 to 19 years - LABOR FORCE STATUS - In the labor force,Total; Margin of Error; Population 16 to 19 years - LABOR FORCE STATUS - In the labor force,"White alone, not Hispanic or Latino; Estimate; Population 16 to 19 years - LABOR FORCE STATUS - In the labor force","White alone, not Hispanic or Latino; Margin of Error; Population 16 to 19 years - LABOR FORCE STATUS - In the labor force",Black or African American; Estimate; Population 16 to 19 years - LABOR FORCE STATUS - In the labor force,Black or African American; Margin of Error; Population 16 to 19 years - LABOR FORCE STATUS - In the labor force,Hispanic or Latino origin (of any race); Estimate; Population 16 to 19 years - LABOR FORCE STATUS - In the labor force,Hispanic or Latino origin (of any race); Margin of Error; Population 16 to 19 years - LABOR FORCE STATUS - In the labor force
0400000US01,01,Alabama,334636,4765,205433,3043,110016,3603,9689,1239,279184,4765,173498,3210,92521,3591,5150,1034,89.1,1.1,86.4,1.5,94.3,1.3,94.5,5.2,10.9,1.1,13.6,1.5,5.7,1.3,5.5,5.2,55452,3331,31935,2553,17495,2062,4539,1207,172148,3578,104399,2333,58346,2957,5203,1035,1.7,0.6,1.3,0.6,2.0,1.1,5.9,6.2,162488,3731,101034,2112,51670,2473,4486,918,4.4,1.0,4.8,1.3,2.0,1.2,20.3,11.4,3.9,0.8,2.9,1.0,4.3,1.6,17.6,12.1,307377,4694,192303,3084,97107,3406,9070,1231,58.9,1.8,69.2,2.2,38.0,3.5,59.0,9.3,7.6,0.9,7.6,1.1,6.8,1.6,21.7,9.3,29.1,1.5,17.8,1.7,52.5,3.2,16.0,7.6,4.4,0.8,5.3,1.0,2.7,1.2,3.4,2.6,267971,5074,164802,3828,87857,3743,7248,1096,7.5,0.9,6.0,1.0,9.1,1.7,19.5,7.9,41.3,1.5,43.5,1.8,37.1,2.8,40.9,9.6
0400000US04,04,Arizona,434544,3281,213129,1891,18505,1279,159367,1897,359310,4017,182099,2860,15785,1402,126365,2721,93.0,0.9,91.3,1.4,94.7,3.4,94.7,1.1,7.0,0.9,8.7,1.4,5.3,3.4,5.3,1.1,75234,4193,31030,2843,2720,902,33002,3171,225531,2629,110565,1607,10029,904,82853,1580,1.5,0.5,1.0,0.5,N,N,2.1,1.1,209013,2453,102564,1230,8476,936,76514,1530,3.2,0.7,2.8,0.8,N,N,4.3,1.4,3.9,0.8,1.8,0.8,3.4,2.9,6.8,1.8,419151,3548,202842,2159,17387,1280,156936,1926,59.4,1.6,64.0,1.8,40.1,7.0,58.9,2.9,8.8,0.9,8.6,1.1,9.5,4.2,8.7,1.6,27.0,1.7,21.4,1.7,43.9,6.6,28.7,2.7,4.8,0.7,5.9,1.1,6.5,3.3,3.7,0.9,344349,5628,169754,3387,14524,1399,124247,3669,7.7,0.8,5.5,1.2,8.2,3.8,9.8,1.5,44.1,1.4,47.9,2.2,38.2,8.1,41.6,2.5
0400000US05,05,Arkansas,202714,3988,142761,2855,40168,2293,11237,1278,169911,3949,121498,3028,32077,2033,8932,1225,91.5,1.1,89.8,1.4,97.7,1.2,94.3,3.9,8.5,1.1,10.2,1.4,2.3,1.2,5.7,3.9,32803,3188,21263,2357,8091,1496,2305,816,103267,3292,73353,2039,20082,1898,6288,1151,1.8,0.7,1.5,0.7,3.4,2.2,N,N,99447,2850,69408,2101,20086,1517,4949,913,3.3,0.9,4.0,1.1,1.7,1.6,N,N,4.9,1.3,3.8,1.1,8.8,4.1,4.1,3.4,185388,3934,130992,2827,36077,2147,10645,1237,60.5,2.0,68.5,2.2,27.7,4.8,63.7,8.0,6.9,1.1,6.1,1.2,7.6,3.3,17.1,6.3,28.0,2.1,20.2,2.0,61.3,5.7,16.9,6.4,4.6,0.9,5.2,1.0,3.4,2.5,2.4,3.2,163639,4445,115010,3324,32083,2162,9042,1218,6.4,0.9,5.6,1.1,7.3,2.9,12.7,6.8,44.8,2.1,45.7,2.3,48.7,5.0,32.8,7.9
0400000US06,06,California,2771046,6367,971111,3137,207067,3968,1196182,3009,2391054,9588,866522,6026,175698,4679,981818,6605,90.1,0.3,85.4,0.6,92.5,1.4,94.2,0.4,9.9,0.3,14.6,0.6,7.5,1.4,5.8,0.4,379992,9061,104589,5341,31369,2859,214364,6387,1426088,5667,498732,2621,106374,2913,615034,2463,1.5,0.2,1.1,0.2,1.2,0.5,1.9,0.3,1344958,4006,472379,2351,100693,2596,581148,1810,2.6,0.3,1.8,0.3,1.5,0.7,3.7,0.5,2.4,0.3,0.9,0.2,3.1,1.1,4.1,0.5,2618340,7376,898913,4349,194210,3964,1158711,3890,63.3,0.7,67.3,1.1,32.9,2.3,63.0,0.9,8.7,0.4,8.3,0.6,9.1,1.4,9.4,0.6,24.7,0.5,20.0,0.9,54.3,2.3,25.5,0.8,3.3,0.3,4.5,0.6,3.7,0.9,2.1,0.3,2215110,10872,789159,5824,165551,4152,938280,7566,5.9,0.3,4.0,0.4,7.5,1.4,8.0,0.5,37.9,0.5,42.4,0.7,36.5,2.2,37.5,0.9
0400000US08,08,Colorado,327808,3341,215705,1896,15195,1536,76678,2080,279118,4296,190998,2383,13440,1587,56724,2728,91.3,0.9,90.8,1.1,89.4,6.4,94.1,1.6,8.7,0.9,9.2,1.1,10.6,6.4,5.9,1.6,48690,3297,24707,2288,1755,649,19954,2610,170084,2896,111270,1479,8288,1231,40573,1882,1.6,0.6,1.3,0.7,N,N,3.0,1.6,157724,2253,104435,1642,6907,775,36105,1191,2.7,0.7,2.2,0.8,N,N,5.0,1.7,2.3,0.6,1.5,0.6,4.7,4.5,4.5,1.9,303794,3554,197615,2147,14375,1493,74023,1961,64.7,1.5,68.3,1.8,39.3,9.5,59.9,3.4,7.8,0.9,7.4,0.9,7.6,5.2,9.4,2.1,21.6,1.4,18.3,1.5,43.9,8.2,26.1,3.1,5.8,0.8,6.0,0.9,9.2,5.4,4.6,1.4,263672,4578,174572,3010,11742,1536,60865,2373,4.1,0.6,2.3,0.6,5.0,2.7,9.5,2.0,49.9,1.6,51.0,1.9,45.3,7.9,50.2,3.4
0400000US09,09,Connecticut,251543,1944,173603,462,29583,1204,36102,1317,225781,2801,160305,1980,24694,1285,29438,1415,80.1,1.1,76.3,1.4,89.1,3.4,91.5,2.1,19.9,1.1,23.7,1.4,10.9,3.4,8.5,2.1,25762,2808,13298,1916,4889,931,6664,1194,128876,1735,88575,396,14928,872,18880,1203,0.5,0.2,0.5,0.3,N,N,0.6,0.6,122667,1449,85028,258,14655,928,17222,981,1.2,0.5,0.7,0.4,N,N,4.1,2.5,2.4,0.8,0.8,0.6,5.5,3.9,9.2,3.7,222584,2291,152153,1416,26742,1219,33237,1440,66.2,1.8,76.9,1.9,34.2,5.4,40.6,5.6,6.1,1.1,5.7,1.0,5.3,2.8,8.9,4.0,26.0,1.5,15.8,1.5,58.6,5.8,48.5,5.9,1.6,0.5,1.6,0.5,1.9,1.4,2.0,1.2,204199,3185,141704,2120,23462,1255,29175,1425,4.0,0.8,3.1,0.9,6.4,2.4,7.3,3.0,47.0,1.4,46.1,1.6,48.5,5.3,47.9,4.8
0400000US12,12,Florida,1192702,6686,623404,4028,257639,5782,265164,3328,996553,9271,533020,4605,210409,5682,210874,4315,86.9,0.6,84.0,0.9,92.8,1.1,89.0,1.3,13.1,0.6,16.0,0.9,7.2,1.1,11.0,1.3,196149,7390,90384,4812,47230,4455,54290,3482,617750,6310,321475,2764,134969,4693,138713,2863,1.6,0.3,1.5,0.4,1.4,0.6,1.8,0.7,574952,5518,301929,3727,122670,3615,126451,2346,2.3,0.4,2.1,0.5,1.3,0.5,3.7,1.2,2.5,0.3,1.5,0.4,4.6,1.1,3.1,0.9,1130447,7163,588495,4691,240487,5781,257063,3367,57.6,1.0,64.1,1.3,36.0,2.5,60.6,2.0,8.6,0.6,8.3,0.9,8.2,1.3,10.0,1.1,29.1,1.1,21.8,1.2,53.0,2.6,25.3,1.8,4.7,0.4,5.8,0.6,2.8,0.7,4.2,0.7,952996,9898,493693,6184,205701,6239,218212,4288,7.0,0.6,5.6,0.7,10.0,1.4,8.0,1.1,43.2,0.9,46.0,1.2,39.1,2.3,41.7,1.7
0400000US13,13,Georgia,715781,7256,374365,4630,261995,5632,49838,2885,596232,6762,319287,4834,217463,5041,31937,2585,88.2,0.7,84.7,1.1,92.9,1.0,92.6,2.6,11.8,0.7,15.3,1.1,7.1,1.0,7.4,2.6,119549,6275,55078,4137,44532,3921,17901,2508,375459,6177,197035,4015,135588,4051,28580,2604,2.0,0.5,1.3,0.4,2.7,1.0,3.1,1.8,340322,5494,177330,3811,126407,4131,21258,1849,2.5,0.4,2.7,0.5,1.3,0.6,7.1,3.2,3.0,0.5,2.2,0.5,4.3,1.0,4.8,2.7,653759,7590,341695,4456,239662,5804,47119,2868,58.9,1.3,72.7,1.5,37.7,2.3,62.0,4.9,7.8,0.7,6.9,0.9,7.9,1.2,14.3,4.4,30.0,1.2,16.7,1.2,51.8,2.1,19.7,4.0,3.2,0.5,3.7,0.8,2.6,0.7,4.1,1.7,574022,7439,300975,5244,210617,5192,39311,2859,7.3,0.6,5.6,0.8,9.1,1.2,12.2,3.5,41.9,1.3,43.6,1.6,39.8,2.3,46.7,4.5
0400000US15,15,Hawaii,83026,1955,14626,988,1657,1053,8364,594,69206,2178,11888,1062,1053,790,7133,759,81.4,2.8,81.5,6.9,70.1,39.5,84.0,10.1,18.6,2.8,18.5,6.9,29.9,39.5,16.0,10.1,13820,1882,2738,881,604,725,1231,409,42515,1417,8021,835,1103,868,4097,361,1.1,0.6,0.5,0.7,N,N,N,N,40511,1630,6605,813,554,596,4267,633,4.0,1.5,13.0,7.2,N,N,N,N,1.4,0.7,N,N,N,N,N,N,79164,1637,13405,1031,1053,790,8015,645,68.8,3.0,67.3,7.6,N,N,55.0,9.2,6.4,1.5,10.6,4.3,N,N,7.1,4.3,21.8,2.6,14.1,6.3,N,N,31.9,9.2,3.0,1.4,8.0,5.3,N,N,6.1,5.1,66273,2358,12104,1124,1657,1053,6586,830,5.6,1.7,12.0,5.6,N,N,4.6,4.4,43.3,3.0,32.7,8.1,54.0,31.6,44.2,9.1
