GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Population 1 year and over
HC01_MOE_VC01,Total; Margin of Error; Population 1 year and over
HC03_EST_VC01,Region of Current Residence - Northeast; Estimate; Population 1 year and over
HC03_MOE_VC01,Region of Current Residence - Northeast; Margin of Error; Population 1 year and over
HC04_EST_VC01,Region of Current Residence - Midwest; Estimate; Population 1 year and over
HC04_MOE_VC01,Region of Current Residence - Midwest; Margin of Error; Population 1 year and over
HC05_EST_VC01,Region of Current Residence - South; Estimate; Population 1 year and over
HC05_MOE_VC01,Region of Current Residence - South; Margin of Error; Population 1 year and over
HC06_EST_VC01,Region of Current Residence - West; Estimate; Population 1 year and over
HC06_MOE_VC01,Region of Current Residence - West; Margin of Error; Population 1 year and over
HC01_EST_VC02,Total; Estimate; Population 1 year and over - Same residence (non-movers)
HC01_MOE_VC02,Total; Margin of Error; Population 1 year and over - Same residence (non-movers)
HC03_EST_VC02,Region of Current Residence - Northeast; Estimate; Population 1 year and over - Same residence (non-movers)
HC03_MOE_VC02,Region of Current Residence - Northeast; Margin of Error; Population 1 year and over - Same residence (non-movers)
HC04_EST_VC02,Region of Current Residence - Midwest; Estimate; Population 1 year and over - Same residence (non-movers)
HC04_MOE_VC02,Region of Current Residence - Midwest; Margin of Error; Population 1 year and over - Same residence (non-movers)
HC05_EST_VC02,Region of Current Residence - South; Estimate; Population 1 year and over - Same residence (non-movers)
HC05_MOE_VC02,Region of Current Residence - South; Margin of Error; Population 1 year and over - Same residence (non-movers)
HC06_EST_VC02,Region of Current Residence - West; Estimate; Population 1 year and over - Same residence (non-movers)
HC06_MOE_VC02,Region of Current Residence - West; Margin of Error; Population 1 year and over - Same residence (non-movers)
HC01_EST_VC03,Total; Estimate; Population 1 year and over - Movers within same region
HC01_MOE_VC03,Total; Margin of Error; Population 1 year and over - Movers within same region
HC03_EST_VC03,Region of Current Residence - Northeast; Estimate; Population 1 year and over - Movers within same region
HC03_MOE_VC03,Region of Current Residence - Northeast; Margin of Error; Population 1 year and over - Movers within same region
HC04_EST_VC03,Region of Current Residence - Midwest; Estimate; Population 1 year and over - Movers within same region
HC04_MOE_VC03,Region of Current Residence - Midwest; Margin of Error; Population 1 year and over - Movers within same region
HC05_EST_VC03,Region of Current Residence - South; Estimate; Population 1 year and over - Movers within same region
HC05_MOE_VC03,Region of Current Residence - South; Margin of Error; Population 1 year and over - Movers within same region
HC06_EST_VC03,Region of Current Residence - West; Estimate; Population 1 year and over - Movers within same region
HC06_MOE_VC03,Region of Current Residence - West; Margin of Error; Population 1 year and over - Movers within same region
HC01_EST_VC04,Total; Estimate; Population 1 year and over - Movers between regions by region of residence 1 year ago
HC01_MOE_VC04,Total; Margin of Error; Population 1 year and over - Movers between regions by region of residence 1 year ago
HC03_EST_VC04,Region of Current Residence - Northeast; Estimate; Population 1 year and over - Movers between regions by region of residence 1 year ago
HC03_MOE_VC04,Region of Current Residence - Northeast; Margin of Error; Population 1 year and over - Movers between regions by region of residence 1 year ago
HC04_EST_VC04,Region of Current Residence - Midwest; Estimate; Population 1 year and over - Movers between regions by region of residence 1 year ago
HC04_MOE_VC04,Region of Current Residence - Midwest; Margin of Error; Population 1 year and over - Movers between regions by region of residence 1 year ago
HC05_EST_VC04,Region of Current Residence - South; Estimate; Population 1 year and over - Movers between regions by region of residence 1 year ago
HC05_MOE_VC04,Region of Current Residence - South; Margin of Error; Population 1 year and over - Movers between regions by region of residence 1 year ago
HC06_EST_VC04,Region of Current Residence - West; Estimate; Population 1 year and over - Movers between regions by region of residence 1 year ago
HC06_MOE_VC04,Region of Current Residence - West; Margin of Error; Population 1 year and over - Movers between regions by region of residence 1 year ago
