GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Children under 18 years in households
HC01_MOE_VC01,Total; Margin of Error; Children under 18 years in households
HC02_EST_VC01,In married-couple family household; Estimate; Children under 18 years in households
HC02_MOE_VC01,In married-couple family household; Margin of Error; Children under 18 years in households
HC03_EST_VC01,"In male householder, no wife present, family household; Estimate; Children under 18 years in households"
HC03_MOE_VC01,"In male householder, no wife present, family household; Margin of Error; Children under 18 years in households"
HC04_EST_VC01,"In female householder, no husband present, family household; Estimate; Children under 18 years in households"
HC04_MOE_VC01,"In female householder, no husband present, family household; Margin of Error; Children under 18 years in households"
HC01_EST_VC03,Total; Estimate; Children under 18 years in households - AGE - Under 6 years
HC01_MOE_VC03,Total; Margin of Error; Children under 18 years in households - AGE - Under 6 years
HC02_EST_VC03,In married-couple family household; Estimate; Children under 18 years in households - AGE - Under 6 years
HC02_MOE_VC03,In married-couple family household; Margin of Error; Children under 18 years in households - AGE - Under 6 years
HC03_EST_VC03,"In male householder, no wife present, family household; Estimate; Children under 18 years in households - AGE - Under 6 years"
HC03_MOE_VC03,"In male householder, no wife present, family household; Margin of Error; Children under 18 years in households - AGE - Under 6 years"
HC04_EST_VC03,"In female householder, no husband present, family household; Estimate; Children under 18 years in households - AGE - Under 6 years"
HC04_MOE_VC03,"In female householder, no husband present, family household; Margin of Error; Children under 18 years in households - AGE - Under 6 years"
HC01_EST_VC04,Total; Estimate; Children under 18 years in households - AGE - 6 to 11 years
HC01_MOE_VC04,Total; Margin of Error; Children under 18 years in households - AGE - 6 to 11 years
HC02_EST_VC04,In married-couple family household; Estimate; Children under 18 years in households - AGE - 6 to 11 years
HC02_MOE_VC04,In married-couple family household; Margin of Error; Children under 18 years in households - AGE - 6 to 11 years
HC03_EST_VC04,"In male householder, no wife present, family household; Estimate; Children under 18 years in households - AGE - 6 to 11 years"
HC03_MOE_VC04,"In male householder, no wife present, family household; Margin of Error; Children under 18 years in households - AGE - 6 to 11 years"
HC04_EST_VC04,"In female householder, no husband present, family household; Estimate; Children under 18 years in households - AGE - 6 to 11 years"
HC04_MOE_VC04,"In female householder, no husband present, family household; Margin of Error; Children under 18 years in households - AGE - 6 to 11 years"
HC01_EST_VC05,Total; Estimate; Children under 18 years in households - AGE - 12 to 17 years
HC01_MOE_VC05,Total; Margin of Error; Children under 18 years in households - AGE - 12 to 17 years
HC02_EST_VC05,In married-couple family household; Estimate; Children under 18 years in households - AGE - 12 to 17 years
HC02_MOE_VC05,In married-couple family household; Margin of Error; Children under 18 years in households - AGE - 12 to 17 years
HC03_EST_VC05,"In male householder, no wife present, family household; Estimate; Children under 18 years in households - AGE - 12 to 17 years"
HC03_MOE_VC05,"In male householder, no wife present, family household; Margin of Error; Children under 18 years in households - AGE - 12 to 17 years"
HC04_EST_VC05,"In female householder, no husband present, family household; Estimate; Children under 18 years in households - AGE - 12 to 17 years"
HC04_MOE_VC05,"In female householder, no husband present, family household; Margin of Error; Children under 18 years in households - AGE - 12 to 17 years"
HC01_EST_VC07,Total; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC01_MOE_VC07,Total; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC02_EST_VC07,In married-couple family household; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC02_MOE_VC07,In married-couple family household; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC03_EST_VC07,"In male householder, no wife present, family household; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race"
HC03_MOE_VC07,"In male householder, no wife present, family household; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race"
HC04_EST_VC07,"In female householder, no husband present, family household; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race"
HC04_MOE_VC07,"In female householder, no husband present, family household; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race"
HC01_EST_VC08,Total; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC01_MOE_VC08,Total; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC02_EST_VC08,In married-couple family household; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC02_MOE_VC08,In married-couple family household; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC03_EST_VC08,"In male householder, no wife present, family household; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - White"
HC03_MOE_VC08,"In male householder, no wife present, family household; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - White"
HC04_EST_VC08,"In female householder, no husband present, family household; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - White"
HC04_MOE_VC08,"In female householder, no husband present, family household; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - White"
HC01_EST_VC09,Total; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC01_MOE_VC09,Total; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC02_EST_VC09,In married-couple family household; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC02_MOE_VC09,In married-couple family household; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC03_EST_VC09,"In male householder, no wife present, family household; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American"
HC03_MOE_VC09,"In male householder, no wife present, family household; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American"
HC04_EST_VC09,"In female householder, no husband present, family household; Estimate; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American"
HC04_MOE_VC09,"In female householder, no husband present, family household; Margin of Error; Children under 18 years in households - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American"
