GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Living with own grandchildren under 18 years
HC01_MOE_VC01,Total; Margin of Error; Living with own grandchildren under 18 years
HC03_EST_VC01,Percent  distribution of grandparents responsible for grandchildren - Total; Estimate; Living with own grandchildren under 18 years
HC03_MOE_VC01,Percent  distribution of grandparents responsible for grandchildren - Total; Margin of Error; Living with own grandchildren under 18 years
HC04_EST_VC01,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Estimate; Living with own grandchildren under 18 years
HC04_MOE_VC01,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Margin of Error; Living with own grandchildren under 18 years
HC05_EST_VC01,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Estimate; Living with own grandchildren under 18 years
HC05_MOE_VC01,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Margin of Error; Living with own grandchildren under 18 years
HC01_EST_VC03,Total; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC01_MOE_VC03,Total; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC03_EST_VC03,Percent  distribution of grandparents responsible for grandchildren - Total; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC03_MOE_VC03,Percent  distribution of grandparents responsible for grandchildren - Total; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC04_EST_VC03,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC04_MOE_VC03,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC05_EST_VC03,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC05_MOE_VC03,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC01_EST_VC04,Total; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC01_MOE_VC04,Total; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC03_EST_VC04,Percent  distribution of grandparents responsible for grandchildren - Total; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC03_MOE_VC04,Percent  distribution of grandparents responsible for grandchildren - Total; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC04_EST_VC04,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC04_MOE_VC04,Percent  distribution of grandparents responsible for grandchildren - 30 to 59 years; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC05_EST_VC04,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC05_MOE_VC04,Percent  distribution of grandparents responsible for grandchildren - 60 years and over; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC01_EST_VC05,Total; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC01_MOE_VC05,Total; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC03_EST_VC05,Percent  distribution of grandparents responsible for grandchildren - Total; Estimate; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC03_MOE_VC05,Percent  distribution of grandparents responsible for grandchildren - Total; Margin of Error; Living with own grandchildren under 18 years - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
