GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC04_EST_VC12,HC04_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC04_EST_VC17,HC04_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC04_EST_VC21,HC04_MOE_VC21,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC04_EST_VC23,HC04_MOE_VC23,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC04_EST_VC25,HC04_MOE_VC25,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC04_EST_VC28,HC04_MOE_VC28
Id,Id2,Geography,Total; Estimate; Population 15 to 19 years,Total; Margin of Error; Population 15 to 19 years,"White alone, not Hispanic or Latino; Estimate; Population 15 to 19 years","White alone, not Hispanic or Latino; Margin of Error; Population 15 to 19 years",Black or African American; Estimate; Population 15 to 19 years,Black or African American; Margin of Error; Population 15 to 19 years,Hispanic or Latino origin (of any race); Estimate; Population 15 to 19 years,Hispanic or Latino origin (of any race); Margin of Error; Population 15 to 19 years,Total; Estimate; SCHOOL ENROLLMENT - Enrolled in school,Total; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school,"White alone, not Hispanic or Latino; Estimate; SCHOOL ENROLLMENT - Enrolled in school","White alone, not Hispanic or Latino; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school",Black or African American; Estimate; SCHOOL ENROLLMENT - Enrolled in school,Black or African American; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school,Hispanic or Latino origin (of any race); Estimate; SCHOOL ENROLLMENT - Enrolled in school,Hispanic or Latino origin (of any race); Margin of Error; SCHOOL ENROLLMENT - Enrolled in school,Total; Estimate; SCHOOL ENROLLMENT - Enrolled in school - Public,Total; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Public,"White alone, not Hispanic or Latino; Estimate; SCHOOL ENROLLMENT - Enrolled in school - Public","White alone, not Hispanic or Latino; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Public",Black or African American; Estimate; SCHOOL ENROLLMENT - Enrolled in school - Public,Black or African American; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Public,Hispanic or Latino origin (of any race); Estimate; SCHOOL ENROLLMENT - Enrolled in school - Public,Hispanic or Latino origin (of any race); Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Public,Total; Estimate; SCHOOL ENROLLMENT - Enrolled in school - Private,Total; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Private,"White alone, not Hispanic or Latino; Estimate; SCHOOL ENROLLMENT - Enrolled in school - Private","White alone, not Hispanic or Latino; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Private",Black or African American; Estimate; SCHOOL ENROLLMENT - Enrolled in school - Private,Black or African American; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Private,Hispanic or Latino origin (of any race); Estimate; SCHOOL ENROLLMENT - Enrolled in school - Private,Hispanic or Latino origin (of any race); Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Private,Total; Estimate; SCHOOL ENROLLMENT - Not enrolled in school,Total; Margin of Error; SCHOOL ENROLLMENT - Not enrolled in school,"White alone, not Hispanic or Latino; Estimate; SCHOOL ENROLLMENT - Not enrolled in school","White alone, not Hispanic or Latino; Margin of Error; SCHOOL ENROLLMENT - Not enrolled in school",Black or African American; Estimate; SCHOOL ENROLLMENT - Not enrolled in school,Black or African American; Margin of Error; SCHOOL ENROLLMENT - Not enrolled in school,Hispanic or Latino origin (of any race); Estimate; SCHOOL ENROLLMENT - Not enrolled in school,Hispanic or Latino origin (of any race); Margin of Error; SCHOOL ENROLLMENT - Not enrolled in school,Total; Estimate; MARITAL STATUS AND FERTILITY - Male,Total; Margin of Error; MARITAL STATUS AND FERTILITY - Male,"White alone, not Hispanic or Latino; Estimate; MARITAL STATUS AND FERTILITY - Male","White alone, not Hispanic or Latino; Margin of Error; MARITAL STATUS AND FERTILITY - Male",Black or African American; Estimate; MARITAL STATUS AND FERTILITY - Male,Black or African American; Margin of Error; MARITAL STATUS AND FERTILITY - Male,Hispanic or Latino origin (of any race); Estimate; MARITAL STATUS AND FERTILITY - Male,Hispanic or Latino origin (of any race); Margin of Error; MARITAL STATUS AND FERTILITY - Male,Total; Estimate; MARITAL STATUS AND FERTILITY - Male - Ever married,Total; Margin of Error; MARITAL STATUS AND FERTILITY - Male - Ever married,"White alone, not Hispanic or Latino; Estimate; MARITAL STATUS AND FERTILITY - Male - Ever married","White alone, not Hispanic or Latino; Margin of Error; MARITAL STATUS AND FERTILITY - Male - Ever married",Black or African American; Estimate; MARITAL STATUS AND FERTILITY - Male - Ever married,Black or African American; Margin of Error; MARITAL STATUS AND FERTILITY - Male - Ever married,Hispanic or Latino origin (of any race); Estimate; MARITAL STATUS AND FERTILITY - Male - Ever married,Hispanic or Latino origin (of any race); Margin of Error; MARITAL STATUS AND FERTILITY - Male - Ever married,Total; Estimate; MARITAL STATUS AND FERTILITY - Female,Total; Margin of Error; MARITAL STATUS AND FERTILITY - Female,"White alone, not Hispanic or Latino; Estimate; MARITAL STATUS AND FERTILITY - Female","White alone, not Hispanic or Latino; Margin of Error; MARITAL STATUS AND FERTILITY - Female",Black or African American; Estimate; MARITAL STATUS AND FERTILITY - Female,Black or African American; Margin of Error; MARITAL STATUS AND FERTILITY - Female,Hispanic or Latino origin (of any race); Estimate; MARITAL STATUS AND FERTILITY - Female,Hispanic or Latino origin (of any race); Margin of Error; MARITAL STATUS AND FERTILITY - Female,Total; Estimate; MARITAL STATUS AND FERTILITY - Female - Ever married,Total; Margin of Error; MARITAL STATUS AND FERTILITY - Female - Ever married,"White alone, not Hispanic or Latino; Estimate; MARITAL STATUS AND FERTILITY - Female - Ever married","White alone, not Hispanic or Latino; Margin of Error; MARITAL STATUS AND FERTILITY - Female - Ever married",Black or African American; Estimate; MARITAL STATUS AND FERTILITY - Female - Ever married,Black or African American; Margin of Error; MARITAL STATUS AND FERTILITY - Female - Ever married,Hispanic or Latino origin (of any race); Estimate; MARITAL STATUS AND FERTILITY - Female - Ever married,Hispanic or Latino origin (of any race); Margin of Error; MARITAL STATUS AND FERTILITY - Female - Ever married,Total; Estimate; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months,Total; Margin of Error; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months,"White alone, not Hispanic or Latino; Estimate; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months","White alone, not Hispanic or Latino; Margin of Error; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months",Black or African American; Estimate; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months,Black or African American; Margin of Error; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months,Hispanic or Latino origin (of any race); Estimate; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months,Hispanic or Latino origin (of any race); Margin of Error; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months,Total; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households,Total; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households,"White alone, not Hispanic or Latino; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households","White alone, not Hispanic or Latino; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households",Black or African American; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households,Black or African American; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households,Hispanic or Latino origin (of any race); Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households,Hispanic or Latino origin (of any race); Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households,Total; Estimate; HOUSEHOLD TYPE - In married-couple family households,Total; Margin of Error; HOUSEHOLD TYPE - In married-couple family households,"White alone, not Hispanic or Latino; Estimate; HOUSEHOLD TYPE - In married-couple family households","White alone, not Hispanic or Latino; Margin of Error; HOUSEHOLD TYPE - In married-couple family households",Black or African American; Estimate; HOUSEHOLD TYPE - In married-couple family households,Black or African American; Margin of Error; HOUSEHOLD TYPE - In married-couple family households,Hispanic or Latino origin (of any race); Estimate; HOUSEHOLD TYPE - In married-couple family households,Hispanic or Latino origin (of any race); Margin of Error; HOUSEHOLD TYPE - In married-couple family households,"Total; Estimate; HOUSEHOLD TYPE - In male householder, no wife present, family households","Total; Margin of Error; HOUSEHOLD TYPE - In male householder, no wife present, family households","White alone, not Hispanic or Latino; Estimate; HOUSEHOLD TYPE - In male householder, no wife present, family households","White alone, not Hispanic or Latino; Margin of Error; HOUSEHOLD TYPE - In male householder, no wife present, family households","Black or African American; Estimate; HOUSEHOLD TYPE - In male householder, no wife present, family households","Black or African American; Margin of Error; HOUSEHOLD TYPE - In male householder, no wife present, family households","Hispanic or Latino origin (of any race); Estimate; HOUSEHOLD TYPE - In male householder, no wife present, family households","Hispanic or Latino origin (of any race); Margin of Error; HOUSEHOLD TYPE - In male householder, no wife present, family households","Total; Estimate; HOUSEHOLD TYPE - In female householder, no husband present, family households","Total; Margin of Error; HOUSEHOLD TYPE - In female householder, no husband present, family households","White alone, not Hispanic or Latino; Estimate; HOUSEHOLD TYPE - In female householder, no husband present, family households","White alone, not Hispanic or Latino; Margin of Error; HOUSEHOLD TYPE - In female householder, no husband present, family households","Black or African American; Estimate; HOUSEHOLD TYPE - In female householder, no husband present, family households","Black or African American; Margin of Error; HOUSEHOLD TYPE - In female householder, no husband present, family households","Hispanic or Latino origin (of any race); Estimate; HOUSEHOLD TYPE - In female householder, no husband present, family households","Hispanic or Latino origin (of any race); Margin of Error; HOUSEHOLD TYPE - In female householder, no husband present, family households",Total; Estimate; HOUSEHOLD TYPE - In nonfamily households,Total; Margin of Error; HOUSEHOLD TYPE - In nonfamily households,"White alone, not Hispanic or Latino; Estimate; HOUSEHOLD TYPE - In nonfamily households","White alone, not Hispanic or Latino; Margin of Error; HOUSEHOLD TYPE - In nonfamily households",Black or African American; Estimate; HOUSEHOLD TYPE - In nonfamily households,Black or African American; Margin of Error; HOUSEHOLD TYPE - In nonfamily households,Hispanic or Latino origin (of any race); Estimate; HOUSEHOLD TYPE - In nonfamily households,Hispanic or Latino origin (of any race); Margin of Error; HOUSEHOLD TYPE - In nonfamily households,Total; Estimate; Population 16 to 19 years,Total; Margin of Error; Population 16 to 19 years,"White alone, not Hispanic or Latino; Estimate; Population 16 to 19 years","White alone, not Hispanic or Latino; Margin of Error; Population 16 to 19 years",Black or African American; Estimate; Population 16 to 19 years,Black or African American; Margin of Error; Population 16 to 19 years,Hispanic or Latino origin (of any race); Estimate; Population 16 to 19 years,Hispanic or Latino origin (of any race); Margin of Error; Population 16 to 19 years,Total; Estimate; IDLENESS - Not enrolled in school and not in the labor force,Total; Margin of Error; IDLENESS - Not enrolled in school and not in the labor force,"White alone, not Hispanic or Latino; Estimate; IDLENESS - Not enrolled in school and not in the labor force","White alone, not Hispanic or Latino; Margin of Error; IDLENESS - Not enrolled in school and not in the labor force",Black or African American; Estimate; IDLENESS - Not enrolled in school and not in the labor force,Black or African American; Margin of Error; IDLENESS - Not enrolled in school and not in the labor force,Hispanic or Latino origin (of any race); Estimate; IDLENESS - Not enrolled in school and not in the labor force,Hispanic or Latino origin (of any race); Margin of Error; IDLENESS - Not enrolled in school and not in the labor force,Total; Estimate; LABOR FORCE STATUS - In the labor force,Total; Margin of Error; LABOR FORCE STATUS - In the labor force,"White alone, not Hispanic or Latino; Estimate; LABOR FORCE STATUS - In the labor force","White alone, not Hispanic or Latino; Margin of Error; LABOR FORCE STATUS - In the labor force",Black or African American; Estimate; LABOR FORCE STATUS - In the labor force,Black or African American; Margin of Error; LABOR FORCE STATUS - In the labor force,Hispanic or Latino origin (of any race); Estimate; LABOR FORCE STATUS - In the labor force,Hispanic or Latino origin (of any race); Margin of Error; LABOR FORCE STATUS - In the labor force
0400000US01,01,Alabama,338270,4752,202286,2710,111381,2836,14039,2368,292060,4327,177938,2966,92695,2717,12084,2069,88.5,1.0,85.0,1.4,94.2,1.2,91.9,3.9,11.5,1.0,15.0,1.4,5.8,1.2,8.1,3.9,46210,3194,24348,2125,18686,2401,1955,818,173769,3549,104683,2094,56596,2143,6391,1350,0.6,0.3,0.8,0.4,0.5,0.4,N,N,164501,3350,97603,2131,54785,2329,7648,1756,1.4,0.4,1.4,0.5,1.3,0.6,N,N,3.0,0.7,1.8,0.7,4.9,1.5,5.4,4.3,310918,5072,185269,3205,102645,2944,12988,2330,58.6,1.5,70.1,1.9,37.1,2.7,64.8,9.9,7.7,1.0,7.0,1.1,7.5,1.6,12.4,6.4,30.7,1.5,19.1,1.7,53.7,2.9,20.0,7.8,3.1,0.6,3.7,0.8,1.8,0.8,2.9,2.9,272487,5438,160573,3501,92254,2751,11039,1922,6.3,0.9,4.5,0.9,9.3,2.2,5.6,4.1,33.4,1.5,35.0,1.8,30.6,2.7,36.8,8.5
0400000US04,04,Arizona,455642,4965,199264,2962,24170,2712,185011,1777,383660,6506,172920,3730,19328,2399,152220,3612,94.6,0.7,93.7,1.1,96.8,3.4,96.0,0.9,5.4,0.7,6.3,1.1,3.2,3.4,4.0,0.9,71982,5746,26344,3396,4842,1608,32791,3424,233187,3297,102004,2066,12369,1731,94912,1551,0.8,0.3,0.9,0.5,N,N,0.9,0.5,222455,3582,97260,2565,11801,1458,90099,1425,2.1,0.5,1.6,0.7,N,N,2.5,0.9,2.9,0.8,2.2,0.9,N,N,4.2,1.4,430637,4803,182378,3106,22527,2746,180557,1682,56.8,1.7,63.6,2.7,36.6,11.1,52.6,2.9,10.2,1.2,9.8,1.8,14.8,8.3,10.1,1.8,28.3,1.4,20.9,2.0,41.7,10.3,33.4,2.8,4.8,0.7,5.7,1.0,7.0,5.2,3.8,1.0,370492,6261,161873,4091,20568,2488,149839,3539,7.5,0.8,5.0,1.2,8.6,4.2,9.4,1.4,36.4,1.6,41.2,2.2,36.7,8.1,34.1,2.7
0400000US05,05,Arkansas,196256,4013,130471,2612,41474,2101,17417,1942,168670,3583,114348,2311,35797,1878,12914,1651,91.6,1.1,90.0,1.4,97.1,1.3,92.2,4.8,8.4,1.1,10.0,1.4,2.9,1.3,7.8,4.8,27586,2500,16123,1855,5677,1256,4503,1110,102875,3280,67864,1915,21456,1481,9547,1754,1.0,0.5,0.8,0.5,2.0,1.6,N,N,93381,2799,62607,1950,20018,1626,7870,1220,3.5,1.0,3.0,1.0,1.0,1.1,N,N,3.4,1.0,2.3,0.9,4.6,2.2,10.3,6.5,179308,3989,119696,2790,36271,2113,16801,1933,57.4,2.1,65.8,2.4,28.9,4.7,59.1,9.3,8.8,1.3,8.1,1.5,9.9,3.5,8.8,4.3,30.7,2.1,23.4,2.5,59.4,5.2,25.0,7.6,3.1,0.9,2.8,0.9,1.7,1.1,7.2,4.4,155124,4453,103128,3108,33094,2312,13710,2081,6.4,1.1,4.9,1.1,7.6,2.2,11.3,5.7,35.8,2.0,36.2,2.2,33.9,4.3,39.7,8.2
0400000US06,06,California,2751463,6220,802274,2852,183773,5408,1353616,2451,2420594,11094,719576,4878,156846,5541,1158681,7701,90.9,0.3,85.7,0.7,90.8,1.6,94.4,0.4,9.1,0.3,14.3,0.7,9.2,1.6,5.6,0.4,330869,8867,82698,4361,26927,3199,194935,7372,1424514,5002,418634,2297,96566,4098,696394,1999,1.1,0.1,1.2,0.3,1.4,0.7,1.0,0.2,1326949,4364,383640,2430,87207,3323,657222,2189,1.6,0.2,1.1,0.2,0.8,0.4,2.2,0.3,2.3,0.3,1.4,0.5,2.7,1.1,3.3,0.4,2610579,7907,741182,3931,172513,5410,1316860,3905,62.3,0.7,66.0,1.2,36.1,2.8,62.3,1.1,8.6,0.4,8.6,0.7,9.1,1.5,8.8,0.5,26.2,0.7,21.3,1.0,51.5,2.6,27.1,1.0,2.9,0.3,4.2,0.6,3.3,1.1,1.8,0.3,2219870,11961,649880,5795,145516,4583,1096723,7918,5.4,0.2,4.1,0.4,8.5,1.6,6.2,0.4,29.7,0.5,33.1,0.9,26.7,2.5,30.7,0.8
0400000US08,08,Colorado,339145,3651,208184,2299,15629,1487,93591,2467,297065,4271,184833,3255,14113,1518,78285,2885,92.7,0.9,91.7,1.1,96.6,3.1,94.4,1.7,7.3,0.9,8.3,1.1,3.4,3.1,5.6,1.7,42080,3443,23351,2622,1516,564,15306,2022,176868,2641,109397,1993,7544,898,48223,1882,0.7,0.4,0.5,0.3,N,N,1.4,1.2,162277,3072,98787,1315,8085,1449,45368,1895,1.7,0.5,1.4,0.6,N,N,2.5,1.0,2.4,0.7,0.9,0.6,N,N,6.3,2.4,309050,3776,187064,2519,14048,1550,89405,2473,64.7,1.9,67.0,2.1,51.8,12.8,60.2,3.7,8.1,1.0,8.0,1.4,3.9,2.6,9.3,2.2,22.4,1.5,18.6,1.9,42.1,13.0,27.9,3.0,4.8,0.8,6.4,1.3,2.2,2.4,2.6,1.0,272261,4177,169450,2934,11348,1565,74728,3058,4.7,0.7,3.8,1.0,7.1,4.7,6.4,1.7,43.4,1.7,44.1,1.8,40.1,9.2,44.2,3.4
0400000US09,09,Connecticut,254836,1475,162782,264,31874,1297,43811,786,229567,2851,149948,1860,28725,1427,35867,1302,84.5,1.3,82.1,1.8,90.0,3.0,93.4,1.8,15.5,1.3,17.9,1.8,10.0,3.0,6.6,1.8,25269,2441,12834,1838,3149,890,7944,1112,129528,1260,83643,154,16755,882,22444,571,0.8,0.5,0.8,0.5,N,N,0.6,0.7,125308,1210,79139,229,15119,954,21367,781,0.7,0.3,0.4,0.3,N,N,1.3,0.9,1.1,0.4,0.4,0.3,2.9,2.1,3.2,1.5,224958,2451,142263,1978,29030,1243,41532,735,63.2,1.9,73.8,2.6,35.4,6.6,44.4,4.9,6.4,0.9,6.2,1.2,4.4,2.2,6.6,2.1,29.0,1.7,19.1,2.1,57.0,6.7,47.4,5.0,1.3,0.5,0.9,0.4,3.2,1.8,1.6,1.3,203780,3331,129294,2556,24966,1620,35476,1323,3.4,0.7,2.1,0.7,5.5,2.6,6.7,2.0,43.3,2.0,43.6,2.3,38.7,5.5,47.9,4.0
0400000US12,12,Florida,1219318,9588,563298,4316,265298,6783,329202,4983,1060300,11532,495617,6028,228060,6556,278991,5108,88.7,0.6,85.7,1.0,92.9,1.1,90.4,1.1,11.3,0.6,14.3,1.0,7.1,1.1,9.6,1.1,159018,7402,67681,4793,37238,3975,50211,3920,629783,7004,291259,3931,136367,4929,171871,2911,0.9,0.3,0.8,0.3,0.4,0.3,1.2,0.5,589535,6932,272039,2717,128931,4481,157331,4413,1.6,0.3,1.4,0.4,0.8,0.4,2.6,0.9,2.4,0.4,1.5,0.4,5.3,1.2,2.0,0.7,1142628,9528,522925,4821,246353,6718,317502,5031,56.6,1.0,64.0,1.6,37.0,2.3,58.4,2.2,8.9,0.6,8.7,1.0,9.4,1.5,9.0,1.2,31.0,0.9,23.4,1.3,51.1,2.3,30.0,2.1,3.5,0.4,3.9,0.4,2.6,0.8,2.7,0.7,994565,10974,456631,6301,219540,7171,268191,5960,6.3,0.6,5.4,0.7,7.8,1.0,7.0,1.0,33.8,0.9,37.0,1.6,30.8,2.2,31.4,1.9
0400000US13,13,Georgia,722839,10704,352421,5263,257440,6795,74526,5676,618083,10405,302172,4924,220448,6120,60276,4976,89.6,0.7,86.7,1.3,92.9,1.1,92.7,2.7,10.4,0.7,13.3,1.3,7.1,1.1,7.3,2.7,104756,5600,50249,4408,36992,3238,14250,2500,372181,7944,182010,4763,131724,4972,38819,3437,0.9,0.3,1.1,0.5,0.4,0.3,2.0,1.6,350658,7080,170411,4631,125716,4472,35707,4078,1.6,0.4,2.4,0.8,0.6,0.5,2.2,1.6,2.3,0.5,1.6,0.6,2.9,0.9,5.0,2.6,664879,11131,321061,5522,238247,6776,70909,5470,57.4,1.3,70.1,1.7,36.8,2.5,61.3,5.5,7.5,0.7,7.7,1.1,6.9,1.1,9.8,2.9,31.3,1.2,17.7,1.5,53.3,2.6,26.1,4.3,3.8,0.7,4.4,1.0,3.0,0.8,2.8,1.4,587795,11940,287450,6403,211652,7655,59486,5376,6.8,0.5,6.6,0.9,7.7,0.9,7.0,2.1,33.8,1.4,36.3,1.7,30.6,2.1,36.7,5.0
0400000US17,17,Illinois,913267,4091,501770,1953,171763,2887,186584,2366,805981,5620,455229,3520,144723,3442,156535,3575,87.1,0.6,84.3,1.0,92.8,1.0,90.8,1.3,12.9,0.6,15.7,1.0,7.2,1.0,9.2,1.3,107286,5726,46541,3418,27040,2497,30049,3043,471557,3223,258737,1304,89495,1809,97162,1869,0.4,0.1,0.5,0.2,N,N,0.5,0.4,441710,2852,243033,1774,82268,1913,89422,1392,1.1,0.3,1.1,0.3,N,N,2.1,0.9,2.3,0.5,1.4,0.3,2.6,0.9,4.8,1.6,852696,5032,462957,3319,160950,2921,181587,2346,60.5,1.0,70.8,1.2,27.8,2.7,61.5,2.8,7.8,0.6,7.4,0.7,7.5,1.4,9.0,1.4,29.0,0.9,18.6,1.0,62.0,2.6,27.7,2.6,2.8,0.5,3.1,0.7,2.7,1.0,1.7,0.7,738248,6757,404414,4123,139723,3878,150386,3247,5.0,0.4,3.2,0.5,9.9,1.4,5.6,1.1,38.4,0.9,41.6,1.2,28.8,1.9,40.5,2.3
