GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC04_EST_VC12,HC04_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC04_EST_VC16,HC04_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC04_EST_VC17,HC04_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC04_EST_VC22,HC04_MOE_VC22,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC04_EST_VC24,HC04_MOE_VC24,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27,HC04_EST_VC27,HC04_MOE_VC27
Id,Id2,Geography,Total; Estimate; Population 15 to 19 years,Total; Margin of Error; Population 15 to 19 years,"White alone, not Hispanic or Latino; Estimate; Population 15 to 19 years","White alone, not Hispanic or Latino; Margin of Error; Population 15 to 19 years",Black or African American; Estimate; Population 15 to 19 years,Black or African American; Margin of Error; Population 15 to 19 years,Hispanic or Latino origin (of any race); Estimate; Population 15 to 19 years,Hispanic or Latino origin (of any race); Margin of Error; Population 15 to 19 years,Total; Estimate; SCHOOL ENROLLMENT - Enrolled in school,Total; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school,"White alone, not Hispanic or Latino; Estimate; SCHOOL ENROLLMENT - Enrolled in school","White alone, not Hispanic or Latino; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school",Black or African American; Estimate; SCHOOL ENROLLMENT - Enrolled in school,Black or African American; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school,Hispanic or Latino origin (of any race); Estimate; SCHOOL ENROLLMENT - Enrolled in school,Hispanic or Latino origin (of any race); Margin of Error; SCHOOL ENROLLMENT - Enrolled in school,Total; Estimate; SCHOOL ENROLLMENT - Enrolled in school - Public,Total; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Public,"White alone, not Hispanic or Latino; Estimate; SCHOOL ENROLLMENT - Enrolled in school - Public","White alone, not Hispanic or Latino; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Public",Black or African American; Estimate; SCHOOL ENROLLMENT - Enrolled in school - Public,Black or African American; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Public,Hispanic or Latino origin (of any race); Estimate; SCHOOL ENROLLMENT - Enrolled in school - Public,Hispanic or Latino origin (of any race); Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Public,Total; Estimate; SCHOOL ENROLLMENT - Enrolled in school - Private,Total; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Private,"White alone, not Hispanic or Latino; Estimate; SCHOOL ENROLLMENT - Enrolled in school - Private","White alone, not Hispanic or Latino; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Private",Black or African American; Estimate; SCHOOL ENROLLMENT - Enrolled in school - Private,Black or African American; Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Private,Hispanic or Latino origin (of any race); Estimate; SCHOOL ENROLLMENT - Enrolled in school - Private,Hispanic or Latino origin (of any race); Margin of Error; SCHOOL ENROLLMENT - Enrolled in school - Private,Total; Estimate; SCHOOL ENROLLMENT - Not enrolled in school,Total; Margin of Error; SCHOOL ENROLLMENT - Not enrolled in school,"White alone, not Hispanic or Latino; Estimate; SCHOOL ENROLLMENT - Not enrolled in school","White alone, not Hispanic or Latino; Margin of Error; SCHOOL ENROLLMENT - Not enrolled in school",Black or African American; Estimate; SCHOOL ENROLLMENT - Not enrolled in school,Black or African American; Margin of Error; SCHOOL ENROLLMENT - Not enrolled in school,Hispanic or Latino origin (of any race); Estimate; SCHOOL ENROLLMENT - Not enrolled in school,Hispanic or Latino origin (of any race); Margin of Error; SCHOOL ENROLLMENT - Not enrolled in school,Total; Estimate; MARITAL STATUS AND FERTILITY - Male,Total; Margin of Error; MARITAL STATUS AND FERTILITY - Male,"White alone, not Hispanic or Latino; Estimate; MARITAL STATUS AND FERTILITY - Male","White alone, not Hispanic or Latino; Margin of Error; MARITAL STATUS AND FERTILITY - Male",Black or African American; Estimate; MARITAL STATUS AND FERTILITY - Male,Black or African American; Margin of Error; MARITAL STATUS AND FERTILITY - Male,Hispanic or Latino origin (of any race); Estimate; MARITAL STATUS AND FERTILITY - Male,Hispanic or Latino origin (of any race); Margin of Error; MARITAL STATUS AND FERTILITY - Male,Total; Estimate; MARITAL STATUS AND FERTILITY - Male - Ever married,Total; Margin of Error; MARITAL STATUS AND FERTILITY - Male - Ever married,"White alone, not Hispanic or Latino; Estimate; MARITAL STATUS AND FERTILITY - Male - Ever married","White alone, not Hispanic or Latino; Margin of Error; MARITAL STATUS AND FERTILITY - Male - Ever married",Black or African American; Estimate; MARITAL STATUS AND FERTILITY - Male - Ever married,Black or African American; Margin of Error; MARITAL STATUS AND FERTILITY - Male - Ever married,Hispanic or Latino origin (of any race); Estimate; MARITAL STATUS AND FERTILITY - Male - Ever married,Hispanic or Latino origin (of any race); Margin of Error; MARITAL STATUS AND FERTILITY - Male - Ever married,Total; Estimate; MARITAL STATUS AND FERTILITY - Female,Total; Margin of Error; MARITAL STATUS AND FERTILITY - Female,"White alone, not Hispanic or Latino; Estimate; MARITAL STATUS AND FERTILITY - Female","White alone, not Hispanic or Latino; Margin of Error; MARITAL STATUS AND FERTILITY - Female",Black or African American; Estimate; MARITAL STATUS AND FERTILITY - Female,Black or African American; Margin of Error; MARITAL STATUS AND FERTILITY - Female,Hispanic or Latino origin (of any race); Estimate; MARITAL STATUS AND FERTILITY - Female,Hispanic or Latino origin (of any race); Margin of Error; MARITAL STATUS AND FERTILITY - Female,Total; Estimate; MARITAL STATUS AND FERTILITY - Female - Ever married,Total; Margin of Error; MARITAL STATUS AND FERTILITY - Female - Ever married,"White alone, not Hispanic or Latino; Estimate; MARITAL STATUS AND FERTILITY - Female - Ever married","White alone, not Hispanic or Latino; Margin of Error; MARITAL STATUS AND FERTILITY - Female - Ever married",Black or African American; Estimate; MARITAL STATUS AND FERTILITY - Female - Ever married,Black or African American; Margin of Error; MARITAL STATUS AND FERTILITY - Female - Ever married,Hispanic or Latino origin (of any race); Estimate; MARITAL STATUS AND FERTILITY - Female - Ever married,Hispanic or Latino origin (of any race); Margin of Error; MARITAL STATUS AND FERTILITY - Female - Ever married,Total; Estimate; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months,Total; Margin of Error; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months,"White alone, not Hispanic or Latino; Estimate; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months","White alone, not Hispanic or Latino; Margin of Error; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months",Black or African American; Estimate; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months,Black or African American; Margin of Error; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months,Hispanic or Latino origin (of any race); Estimate; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months,Hispanic or Latino origin (of any race); Margin of Error; MARITAL STATUS AND FERTILITY - Female - Female with a birth in the past 12 months,Total; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households,Total; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households,"White alone, not Hispanic or Latino; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households","White alone, not Hispanic or Latino; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households",Black or African American; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households,Black or African American; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households,Hispanic or Latino origin (of any race); Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households,Hispanic or Latino origin (of any race); Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households,Total; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In married-couple family households,Total; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In married-couple family households,"White alone, not Hispanic or Latino; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In married-couple family households","White alone, not Hispanic or Latino; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In married-couple family households",Black or African American; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In married-couple family households,Black or African American; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In married-couple family households,Hispanic or Latino origin (of any race); Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In married-couple family households,Hispanic or Latino origin (of any race); Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In married-couple family households,"Total; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In male householder, no wife present, family households","Total; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In male householder, no wife present, family households","White alone, not Hispanic or Latino; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In male householder, no wife present, family households","White alone, not Hispanic or Latino; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In male householder, no wife present, family households","Black or African American; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In male householder, no wife present, family households","Black or African American; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In male householder, no wife present, family households","Hispanic or Latino origin (of any race); Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In male householder, no wife present, family households","Hispanic or Latino origin (of any race); Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In male householder, no wife present, family households","Total; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In female householder, no husband present, family households","Total; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In female householder, no husband present, family households","White alone, not Hispanic or Latino; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In female householder, no husband present, family households","White alone, not Hispanic or Latino; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In female householder, no husband present, family households","Black or African American; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In female householder, no husband present, family households","Black or African American; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In female householder, no husband present, family households","Hispanic or Latino origin (of any race); Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In female householder, no husband present, family households","Hispanic or Latino origin (of any race); Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In female householder, no husband present, family households",Total; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In nonfamily households,Total; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In nonfamily households,"White alone, not Hispanic or Latino; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In nonfamily households","White alone, not Hispanic or Latino; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In nonfamily households",Black or African American; Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In nonfamily households,Black or African American; Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In nonfamily households,Hispanic or Latino origin (of any race); Estimate; HOUSEHOLD TYPE - Population 15 to 19 years in households - In nonfamily households,Hispanic or Latino origin (of any race); Margin of Error; HOUSEHOLD TYPE - Population 15 to 19 years in households - In nonfamily households,Total; Estimate; Population 16 to 19 years,Total; Margin of Error; Population 16 to 19 years,"White alone, not Hispanic or Latino; Estimate; Population 16 to 19 years","White alone, not Hispanic or Latino; Margin of Error; Population 16 to 19 years",Black or African American; Estimate; Population 16 to 19 years,Black or African American; Margin of Error; Population 16 to 19 years,Hispanic or Latino origin (of any race); Estimate; Population 16 to 19 years,Hispanic or Latino origin (of any race); Margin of Error; Population 16 to 19 years,Total; Estimate; Population 16 to 19 years - IDLENESS - Not enrolled in school and not in the labor force,Total; Margin of Error; Population 16 to 19 years - IDLENESS - Not enrolled in school and not in the labor force,"White alone, not Hispanic or Latino; Estimate; Population 16 to 19 years - IDLENESS - Not enrolled in school and not in the labor force","White alone, not Hispanic or Latino; Margin of Error; Population 16 to 19 years - IDLENESS - Not enrolled in school and not in the labor force",Black or African American; Estimate; Population 16 to 19 years - IDLENESS - Not enrolled in school and not in the labor force,Black or African American; Margin of Error; Population 16 to 19 years - IDLENESS - Not enrolled in school and not in the labor force,Hispanic or Latino origin (of any race); Estimate; Population 16 to 19 years - IDLENESS - Not enrolled in school and not in the labor force,Hispanic or Latino origin (of any race); Margin of Error; Population 16 to 19 years - IDLENESS - Not enrolled in school and not in the labor force,Total; Estimate; LABOR FORCE STATUS - In the labor force,Total; Margin of Error; LABOR FORCE STATUS - In the labor force,"White alone, not Hispanic or Latino; Estimate; LABOR FORCE STATUS - In the labor force","White alone, not Hispanic or Latino; Margin of Error; LABOR FORCE STATUS - In the labor force",Black or African American; Estimate; LABOR FORCE STATUS - In the labor force,Black or African American; Margin of Error; LABOR FORCE STATUS - In the labor force,Hispanic or Latino origin (of any race); Estimate; LABOR FORCE STATUS - In the labor force,Hispanic or Latino origin (of any race); Margin of Error; LABOR FORCE STATUS - In the labor force
0400000US01,01,Alabama,332224,4928,198378,2991,102688,3159,15830,2130,290568,4961,176254,3181,87353,3135,13392,1936,88.4,1.0,85.7,1.4,93.5,1.3,95.1,3.7,11.6,1.0,14.3,1.4,6.5,1.3,4.9,3.7,41656,3279,22124,2356,15335,2216,2438,909,165966,3608,100549,2664,50654,1957,6923,1354,0.7,0.3,0.6,0.4,0.7,0.7,N,N,166258,4098,97829,2292,52034,2805,8907,1890,1.3,0.4,1.6,0.6,1.0,0.5,N,N,1.7,0.4,1.4,0.5,2.5,1.2,N,N,305390,5003,181849,3166,93840,3402,15265,2136,58.4,1.7,70.7,2.0,35.0,2.7,57.6,7.9,6.7,0.9,7.3,1.2,5.6,1.4,2.4,1.9,32.1,1.6,18.6,1.5,57.7,2.9,35.5,9.3,2.9,0.6,3.4,0.8,1.7,0.9,4.6,4.3,263491,5776,157096,4248,82425,3605,12780,1901,5.3,0.8,4.7,1.0,6.6,1.7,4.9,3.0,32.9,1.6,34.0,1.9,30.8,2.9,33.7,7.1
0400000US04,04,Arizona,464814,3271,194589,1376,25470,1705,194232,1810,399008,4769,170665,2629,22520,1873,162672,3140,93.4,0.6,91.3,1.0,92.7,3.2,95.3,0.9,6.6,0.6,8.7,1.0,7.3,3.2,4.7,0.9,65806,4303,23924,2334,2950,992,31560,3207,237320,2168,99094,772,12582,1103,99343,1285,1.0,0.3,0.6,0.3,N,N,1.3,0.6,227494,2154,95495,1297,12888,1116,94889,1386,1.5,0.4,1.3,0.6,N,N,1.9,0.8,1.7,0.5,1.1,0.5,N,N,2.4,1.1,432116,3697,174450,2556,23641,1702,187058,2153,58.4,1.5,64.6,2.0,35.7,5.6,56.9,2.6,10.0,0.7,8.8,1.2,15.1,4.3,10.4,1.4,26.8,1.4,19.9,1.6,44.2,5.9,30.2,2.6,4.7,0.7,6.7,1.2,5.0,2.8,2.5,0.6,376032,4553,157016,2677,20998,1567,157970,3098,6.5,0.6,5.4,0.8,3.5,2.0,7.5,1.3,38.0,1.5,41.8,2.0,36.5,6.0,36.3,2.3
0400000US05,05,Arkansas,202995,4218,133039,3213,39566,2494,20713,2106,169756,4814,112592,3170,31586,2581,17075,2127,91.6,1.1,89.5,1.5,98.5,0.9,93.3,3.2,8.4,1.1,10.5,1.5,1.5,0.9,6.7,3.2,33239,3298,20447,2400,7980,1431,3638,1173,108766,3853,70427,2238,20389,2076,12682,1658,2.2,0.8,1.6,0.9,4.5,3.4,2.0,1.6,94229,3380,62612,2290,19177,2014,8031,1388,3.1,1.1,2.7,1.1,1.7,1.2,10.5,9.6,2.8,0.9,2.2,0.9,2.0,1.2,9.5,6.4,183796,4197,118991,3269,35822,2600,20151,2089,60.4,2.4,67.9,3.0,27.5,5.6,67.3,6.7,7.5,1.3,7.4,1.5,9.8,4.2,6.1,3.6,29.1,2.4,21.0,2.6,60.1,6.4,24.7,7.2,3.0,0.8,3.6,1.0,2.6,1.8,1.9,1.8,164521,4565,108007,3454,32098,2538,16837,1925,6.7,1.2,6.3,1.2,6.6,2.1,9.5,5.5,36.9,2.0,37.3,2.4,38.0,5.4,33.7,6.8
0400000US06,06,California,2606760,5891,723478,2713,157659,3564,1299892,2849,2329920,8900,654338,4607,135482,3727,1139617,6345,90.9,0.3,84.3,0.8,93.3,1.0,94.9,0.3,9.1,0.3,15.7,0.8,6.7,1.0,5.1,0.3,276840,7944,69140,4039,22177,2461,160275,5833,1333258,4512,373205,1715,81460,2526,661937,2402,1.0,0.2,0.9,0.2,1.6,0.8,1.0,0.2,1273502,3753,350273,2108,76199,2592,637955,1680,1.3,0.1,1.1,0.3,1.3,0.6,1.4,0.2,1.4,0.2,0.6,0.2,2.5,1.1,1.9,0.3,2442760,7339,665730,4322,143774,3589,1250026,4016,63.4,0.6,67.7,1.1,35.8,2.3,62.8,0.9,9.1,0.4,9.4,0.8,8.9,1.5,9.4,0.6,24.9,0.4,18.9,0.9,52.7,2.4,26.3,0.7,2.6,0.2,4.0,0.4,2.6,0.8,1.5,0.2,2098667,11002,584157,5334,126184,4415,1041972,7287,4.7,0.3,4.0,0.4,8.1,1.5,5.3,0.4,29.2,0.6,32.3,1.0,27.2,2.3,30.1,0.8
0400000US08,08,Colorado,351894,3795,205304,2192,16545,2066,102991,2214,305812,4302,182532,2569,13334,1869,85572,2579,91.2,1.0,90.3,1.2,94.9,2.9,93.2,1.7,8.8,1.0,9.7,1.2,5.1,2.9,6.8,1.7,46082,4004,22772,2559,3211,1069,17419,2265,181721,3299,106916,1700,8239,1698,53226,2297,0.9,0.4,0.8,0.5,N,N,1.0,0.8,170173,2807,98388,1742,8306,1125,49765,1816,1.0,0.5,0.5,0.3,N,N,1.9,1.3,1.3,0.5,0.8,0.5,N,N,2.4,1.2,317841,3722,181843,2303,14546,1958,97478,2214,65.2,1.4,69.0,1.7,34.4,7.1,61.6,2.9,8.9,1.0,7.9,1.1,15.6,8.7,10.8,2.0,21.6,1.5,17.9,1.7,45.4,9.6,24.4,2.6,4.3,0.8,5.1,1.0,4.5,4.3,3.2,1.0,279512,4490,163806,2944,13999,2003,81809,2923,5.4,0.8,3.8,0.8,11.0,6.2,7.8,1.8,43.2,1.4,45.3,2.0,37.5,6.6,41.5,2.9
0400000US09,09,Connecticut,250404,2056,154605,760,30232,1634,47937,1256,224570,2733,141406,1638,26084,1662,40375,1513,80.8,1.2,77.3,1.5,84.4,4.6,91.2,1.9,19.2,1.2,22.7,1.5,15.6,4.6,8.8,1.9,25834,2164,13199,1707,4148,1145,7562,1554,128073,1515,79233,51,16242,1036,24228,771,0.6,0.3,0.6,0.4,N,N,N,N,122331,1655,75372,756,13990,1133,23709,1062,0.7,0.3,0.5,0.4,N,N,N,N,0.7,0.3,N,N,1.5,1.4,2.1,1.4,217381,2676,132636,2192,26052,1673,45021,1200,63.9,1.9,74.3,2.2,38.3,5.7,46.3,4.3,6.2,1.0,6.3,1.2,5.3,2.7,6.7,2.1,28.6,1.9,18.0,2.2,55.8,6.4,45.8,4.3,1.3,0.4,1.5,0.6,0.6,0.5,1.2,0.8,201332,3367,122939,2252,25457,1832,38278,1878,3.0,0.6,1.2,0.5,8.7,3.3,6.2,2.3,41.1,1.7,42.7,2.1,35.4,5.0,41.1,4.4
0400000US12,12,Florida,1210563,7669,539753,3211,252025,5656,353502,4665,1063151,8219,478384,4915,218609,5337,307369,5555,89.5,0.5,86.5,0.8,93.9,1.0,91.7,0.8,10.5,0.5,13.5,0.8,6.1,1.0,8.3,0.8,147412,6836,61369,4112,33416,2922,46133,4198,614348,5973,277096,2667,128104,4336,178477,3131,1.3,0.3,1.6,0.4,1.4,0.6,0.8,0.4,596215,5989,262657,2470,123921,4207,175025,3419,1.4,0.3,1.3,0.4,0.9,0.4,1.6,0.7,1.5,0.3,1.0,0.3,2.8,1.2,1.7,0.6,1131861,8337,495675,4194,236012,5532,340313,4877,56.7,0.9,63.6,1.4,36.7,2.2,58.5,2.0,8.7,0.6,8.7,0.7,8.4,1.3,8.8,1.2,31.6,0.9,23.7,1.3,52.8,2.4,30.5,2.0,3.0,0.3,3.9,0.5,2.1,0.6,2.2,0.5,961580,11430,429593,5812,199191,6754,281794,5086,5.7,0.5,4.4,0.6,7.3,1.2,6.7,0.9,32.4,1.0,35.3,1.4,30.5,2.0,29.4,1.7
0400000US13,13,Georgia,726627,7824,343373,4398,255890,5001,83404,3863,620468,8221,298023,5177,214367,5042,67622,3974,90.1,0.7,86.0,1.0,93.8,1.0,96.1,1.4,9.9,0.7,14.0,1.0,6.2,1.0,3.9,1.4,106159,5636,45350,3549,41523,4112,15782,1873,373393,6101,180459,3252,127174,3919,42890,2718,0.9,0.3,1.0,0.4,0.6,0.4,2.3,1.4,353234,5820,162914,3181,128716,4588,40514,2580,2.2,0.4,2.6,0.7,0.8,0.4,5.2,2.1,2.7,0.6,2.2,0.6,3.4,1.2,3.5,1.8,669998,7696,316353,4865,235465,5322,79165,3655,58.6,1.1,69.6,1.6,39.0,2.3,68.3,3.6,7.8,0.6,8.6,0.9,6.5,1.1,9.0,2.3,31.0,1.0,18.5,1.4,52.2,2.3,21.3,2.9,2.6,0.4,3.4,0.7,2.3,0.8,1.4,0.7,586136,8616,278926,5317,204208,5098,68048,4010,6.9,0.7,5.5,0.8,9.2,1.4,7.1,2.0,33.2,0.9,36.1,1.6,31.0,1.7,32.7,3.4
0400000US15,15,Hawaii,77902,1251,10878,683,1938,728,10425,513,64683,1842,8251,752,970,452,8264,760,79.7,2.5,84.3,7.1,80.9,24.2,88.5,5.2,20.3,2.5,15.7,7.1,19.1,24.2,11.5,5.2,13219,1575,2627,789,968,488,2161,642,40154,1246,5704,644,1220,674,6067,694,0.9,0.7,N,N,N,N,N,N,37748,1010,5174,526,718,344,4358,574,2.3,1.2,N,N,N,N,N,N,1.7,1.3,N,N,N,N,N,N,71324,1462,8686,946,1061,480,9097,654,68.6,3.1,74.3,7.5,N,N,65.9,11.1,8.1,1.9,8.3,4.7,N,N,2.5,2.9,21.2,2.7,14.1,6.4,N,N,30.3,11.5,2.1,1.0,3.2,2.5,N,N,1.4,1.5,62485,1787,8886,808,1605,626,8123,667,4.6,1.1,N,N,N,N,7.2,3.7,37.0,3.0,44.4,8.4,63.9,17.3,37.9,7.8
